Order ID,Amount,Profit,Quantity,Category,Sub-Category
B-25601,1275,-1148,7,Furniture,Bookcases
B-25601,66,-12,5,Clothing,Stole
B-25601,8,-2,3,Clothing,Hankerchief
B-25601,80,-56,4,Electronics,Electronic Games
B-25602,168,-111,2,Electronics,Phones
B-25602,424,-272,5,Electronics,Phones
B-25602,2617,1151,4,Electronics,Phones
B-25602,561,212,3,Clothing,Saree
B-25602,119,-5,8,Clothing,Saree
B-25603,1355,-60,5,Clothing,Trousers
B-25603,24,-30,1,Furniture,Chairs
B-25603,193,-166,3,Clothing,Saree
B-25603,180,5,3,Clothing,Trousers
B-25603,116,16,4,Clothing,Stole
B-25603,107,36,6,Clothing,Stole
B-25603,12,1,2,Clothing,Hankerchief
B-25603,38,18,1,Clothing,Kurti
B-25604,65,17,2,Clothing,T-shirt
B-25604,157,5,9,Clothing,Saree
B-25605,75,0,7,Clothing,Saree
B-25606,87,4,2,Clothing,Shirt
B-25607,50,15,4,Clothing,Leggings
B-25608,1364,-1864,5,Furniture,Tables
B-25608,476,0,3,Furniture,Chairs
B-25608,257,23,5,Clothing,Hankerchief
B-25608,856,385,6,Electronics,Printers
B-25609,485,29,4,Electronics,Electronic Games
B-25609,25,-5,4,Clothing,Saree
B-25610,1076,-38,4,Electronics,Printers
B-25610,107,-54,4,Clothing,Stole
B-25610,68,-55,5,Electronics,Accessories
B-25610,781,-594,6,Electronics,Printers
B-25610,43,0,3,Clothing,Saree
B-25610,30,-5,2,Furniture,Furnishings
B-25611,160,-59,2,Clothing,Saree
B-25612,259,-55,2,Furniture,Chairs
B-25613,1603,0,9,Clothing,Saree
B-25614,494,54,4,Furniture,Bookcases
B-25614,98,-12,2,Electronics,Electronic Games
B-25615,68,20,5,Clothing,Hankerchief
B-25616,42,12,5,Clothing,Hankerchief
B-25616,116,-56,5,Clothing,Stole
B-25616,22,-2,3,Clothing,Hankerchief
B-25616,14,-2,3,Clothing,Hankerchief
B-25617,305,-270,5,Electronics,Electronic Games
B-25618,362,127,1,Furniture,Bookcases
B-25618,12,0,2,Clothing,Hankerchief
B-25619,353,90,8,Clothing,Saree
B-25620,193,46,1,Electronics,Printers
B-25621,233,-10,5,Electronics,Electronic Games
B-25621,228,63,3,Electronics,Electronic Games
B-25621,333,-15,3,Electronics,Phones
B-25622,534,0,3,Clothing,Saree
B-25623,53,1,4,Clothing,Stole
B-25623,158,69,3,Clothing,Stole
B-25623,149,-87,4,Clothing,Saree
B-25623,105,20,2,Clothing,Stole
B-25624,26,12,3,Clothing,Hankerchief
B-25625,97,29,2,Clothing,Hankerchief
B-25625,59,30,3,Clothing,Leggings
B-25625,635,-349,5,Clothing,Saree
B-25626,46,-14,1,Electronics,Phones
B-25626,1103,-276,3,Furniture,Chairs
B-25627,55,-39,4,Clothing,Stole
B-25628,45,13,4,Clothing,Skirt
B-25628,24,-9,4,Clothing,Saree
B-25628,35,-8,2,Furniture,Furnishings
B-25629,1560,421,3,Clothing,Trousers
B-25630,133,12,5,Clothing,Stole
B-25630,114,-39,5,Clothing,Kurti
B-25630,143,-129,2,Electronics,Phones
B-25630,40,-7,3,Clothing,Stole
B-25630,34,-22,4,Clothing,T-shirt
B-25630,42,-26,2,Clothing,Kurti
B-25631,89,-89,2,Furniture,Furnishings
B-25632,19,-2,2,Clothing,Leggings
B-25633,249,-130,4,Electronics,Phones
B-25633,711,-8,4,Clothing,Saree
B-25633,496,-79,2,Clothing,Trousers
B-25634,389,-83,3,Furniture,Chairs
B-25635,40,16,3,Clothing,Hankerchief
B-25635,23,2,2,Clothing,Skirt
B-25635,382,30,3,Clothing,Saree
B-25636,637,113,5,Clothing,Saree
B-25637,117,14,3,Clothing,Shirt
B-25638,182,-11,3,Furniture,Bookcases
B-25638,880,97,8,Furniture,Furnishings
B-25638,154,39,3,Clothing,Hankerchief
B-25638,816,-96,3,Electronics,Printers
B-25639,1629,-153,3,Electronics,Phones
B-25640,68,-62,2,Clothing,Trousers
B-25640,314,-239,13,Clothing,Hankerchief
B-25640,122,-47,4,Clothing,Saree
B-25641,22,-6,1,Furniture,Furnishings
B-25642,434,26,11,Clothing,Shirt
B-25643,1061,-36,8,Furniture,Bookcases
B-25643,50,-44,2,Clothing,Hankerchief
B-25643,37,-23,4,Clothing,Shirt
B-25643,263,-63,2,Electronics,Electronic Games
B-25643,36,-7,1,Electronics,Electronic Games
B-25644,76,-92,8,Furniture,Furnishings
B-25645,273,-87,4,Electronics,Phones
B-25645,86,0,4,Clothing,T-shirt
B-25645,133,-42,1,Electronics,Printers
B-25645,183,-66,5,Electronics,Phones
B-25646,20,-8,2,Clothing,Saree
B-25647,42,-6,4,Clothing,Saree
B-25648,100,-23,1,Electronics,Phones
B-25648,30,13,1,Clothing,T-shirt
B-25648,55,-26,4,Clothing,Saree
B-25648,130,-41,4,Clothing,Saree
B-25649,27,-25,2,Clothing,Stole
B-25650,245,-78,2,Electronics,Printers
B-25650,211,-105,2,Clothing,Saree
B-25650,31,-2,2,Clothing,Saree
B-25650,28,-26,2,Clothing,Stole
B-25650,512,-225,5,Clothing,Saree
B-25650,925,-447,5,Electronics,Electronic Games
B-25650,238,20,2,Clothing,Saree
B-25650,351,-47,8,Electronics,Phones
B-25650,269,111,3,Clothing,Trousers
B-25651,200,-60,4,Furniture,Bookcases
B-25651,44,-8,3,Clothing,Stole
B-25651,7,0,1,Clothing,Leggings
B-25651,11,-4,2,Clothing,Skirt
B-25651,16,-10,2,Clothing,T-shirt
B-25651,172,-103,3,Furniture,Chairs
B-25651,49,3,1,Clothing,Shirt
B-25651,823,-18,7,Furniture,Chairs
B-25651,23,4,1,Clothing,Saree
B-25651,457,-41,4,Clothing,Saree
B-25652,24,-21,7,Clothing,Skirt
B-25652,25,-2,5,Clothing,Hankerchief
B-25652,174,-70,3,Electronics,Accessories
B-25652,206,-206,3,Clothing,Saree
B-25652,21,-13,3,Clothing,Leggings
B-25652,34,-6,4,Clothing,Leggings
B-25652,9,-6,2,Clothing,Hankerchief
B-25653,1279,-640,8,Electronics,Printers
B-25653,28,-3,2,Clothing,Saree
B-25653,427,-50,7,Electronics,Phones
B-25653,168,-10,3,Electronics,Accessories
B-25653,1327,318,8,Furniture,Chairs
B-25653,195,-117,5,Electronics,Phones
B-25653,115,25,1,Electronics,Accessories
B-25653,668,-31,3,Electronics,Printers
B-25653,227,102,8,Electronics,Accessories
B-25654,34,12,3,Clothing,Hankerchief
B-25654,229,-23,2,Clothing,Saree
B-25654,54,-3,3,Clothing,Saree
B-25654,269,-86,2,Electronics,Electronic Games
B-25654,122,-21,3,Furniture,Furnishings
B-25654,105,46,2,Clothing,Stole
B-25654,450,-90,3,Electronics,Printers
B-25654,121,-17,3,Furniture,Furnishings
B-25655,44,-26,3,Clothing,Hankerchief
B-25655,7,-4,3,Clothing,Hankerchief
B-25655,396,-31,9,Clothing,Saree
B-25655,97,-62,2,Clothing,Trousers
B-25655,110,-68,4,Clothing,Saree
B-25655,312,-312,7,Furniture,Chairs
B-25655,9,-6,2,Clothing,Skirt
B-25655,6,-3,1,Clothing,Hankerchief
B-25655,74,23,8,Clothing,Skirt
B-25656,534,0,3,Clothing,Saree
B-25656,30,-5,5,Clothing,Stole
B-25656,61,-23,2,Clothing,Saree
B-25656,6,3,1,Clothing,Hankerchief
B-25656,24,-1,2,Clothing,Hankerchief
B-25656,56,18,2,Clothing,Hankerchief
B-25656,406,126,2,Clothing,Saree
B-25656,624,37,2,Electronics,Electronic Games
B-25656,101,18,9,Clothing,Skirt
B-25656,1389,680,7,Clothing,Saree
B-25656,651,169,5,Electronics,Printers
B-25656,13,-1,3,Clothing,Hankerchief
B-25657,1021,-48,4,Electronics,Electronic Games
B-25657,32,-22,5,Clothing,Saree
B-25657,332,-43,6,Electronics,Phones
